date,treatment,rain,tmax,tmin,srad,tmean
12/30/1961,PGRO,19.4,24.6,14.1,19.0112231,19.35
12/31/1961,PGRO,0,25.4,14.9,21.49481183,20.15
01/01/1962,PGRO,0,24.2,13.8,16.02051941,19
01/02/1962,PGRO,28,27.5,14.3,9.053696059,20.9
01/03/1962,PGRO,0,27.1,15.8,23.59599349,21.45
01/04/1962,PGRO,0,28.4,10.6,20.60674571,19.5
01/05/1962,PGRO,0,30,17,20.84953354,23.5
01/06/1962,PGRO,0,31.5,17.1,21.09170602,24.3
01/07/1962,PGRO,19,28.3,18.2,9.026578744,23.25
01/08/1962,PGRO,22,26.9,17.4,14.24042261,22.15
01/09/1962,PGRO,1.1,29.8,18,20.82001154,23.9
01/10/1962,PGRO,2.3,30.9,16.3,17.70419353,23.6
01/11/1962,PGRO,0,29.2,15.9,22.29257075,22.55
01/12/1962,PGRO,2,30.4,17.9,17.68516258,24.15
01/13/1962,PGRO,0,31.8,17.5,20.78024965,24.65
01/14/1962,PGRO,1.3,29.7,18.4,13.31668866,24.05
01/15/1962,PGRO,0,22,16.1,8.959762681,19.05
01/16/1962,PGRO,0,20.8,14.7,11.43224158,17.75
01/17/1962,PGRO,0,20.2,13.1,9.683095023,16.65
01/18/1962,PGRO,1.7,21.8,15.2,8.92700268,18.5
01/19/1962,PGRO,1,26.5,16.9,12.88460345,21.7
01/20/1962,PGRO,0,26.3,14.8,16.96320675,20.55
01/21/1962,PGRO,0,26.4,14,19.42686848,20.2
01/22/1962,PGRO,0,30.3,16.5,20.52487629,23.4
01/23/1962,PGRO,23.2,27.7,17.4,15.92323264,22.55
01/24/1962,PGRO,15.2,27.6,16.5,10.33415576,22.05
01/25/1962,PGRO,1.1,28.6,18.2,15.26897531,23.4
01/26/1962,PGRO,0,24.2,14.9,9.560360385,19.55
01/27/1962,PGRO,0,24,12.7,13.37673151,18.35
01/28/1962,PGRO,0,26.4,13,16.44689742,19.7
01/29/1962,PGRO,5.2,27.1,13.6,12.72075049,20.35
01/30/1962,PGRO,0,27.1,13.4,18.62464848,20.25
01/31/1962,PGRO,0,27.8,13.5,18.84678526,20.65
02/01/1962,PGRO,27,27.2,14.9,20.42334022,21.05
02/02/1962,PGRO,4,27.9,13.6,13.86864913,20.75
02/03/1962,PGRO,38.8,22.6,17.8,8.676838969,20.2
02/04/1962,PGRO,0,28.8,17.2,19.10765431,23
02/05/1962,PGRO,0,26.8,16,15.39265916,21.4
02/06/1962,PGRO,0,25.8,12.7,19.90639938,19.25
02/07/1962,PGRO,0,28,15.9,19.99650305,21.95
02/08/1962,PGRO,0,29.7,16.5,23.27000003,23.1
02/09/1962,PGRO,0,30,16,21.3963676,23
02/10/1962,PGRO,3.8,24.2,18.3,10.96996998,21.25
02/11/1962,PGRO,0,28.1,16.9,15.82663131,22.5
02/12/1962,PGRO,0,30,19.3,20.79275668,24.65
02/13/1962,PGRO,0,31,18.4,20.63061346,24.7
02/14/1962,PGRO,35.2,32,19.6,21.19733978,25.8
02/15/1962,PGRO,0,31,18.4,18.9678079,24.7
02/16/1962,PGRO,2.3,28.8,17,16.25816951,22.9
02/17/1962,PGRO,1.2,30.6,14.4,20.45807139,22.5
02/18/1962,PGRO,0.1,25,17.8,8.320504026,21.4
02/19/1962,PGRO,18,23.2,15,12.27631015,19.1
02/20/1962,PGRO,0,26,14.2,12.48222819,20.1
02/21/1962,PGRO,0,22.6,15.8,13.04752158,19.2
02/22/1962,PGRO,27.8,23,17.4,10.00684065,20.2
02/23/1962,PGRO,43,22.4,16.6,8.175202504,19.5
02/24/1962,PGRO,0,26.8,16.4,16.52047076,21.6
02/25/1962,PGRO,0,24.2,11.2,20.6527039,17.7
02/26/1962,PGRO,0,24.6,14.2,15.82855978,19.4
02/27/1962,PGRO,0,24.6,15,13.40167431,19.8
02/28/1962,PGRO,0,24.6,13.8,15.13771957,19.2
03/01/1962,PGRO,2.3,19,15.4,7.984062742,17.2
03/02/1962,PGRO,69,23.2,16,9.131936865,19.6
03/03/1962,PGRO,3.1,28.2,17.2,16.16716242,22.7
03/04/1962,PGRO,0,28.2,18,7.881960209,23.1
03/05/1962,PGRO,5,27.2,17,13.4770332,22.1
